"","threshold","method","testing_population","mean_FDR","mean_FPR","mean_FNR","mean_true_positive","mean_false_positive","mean_true_negative","mean_false_negative","plot_legend","overlap_percentage"
"1",-4,"LS.YRI","YRI",0.499987496874219,0.99995,0,2000,1999.9,0.1,0,"LS(Y2Y)",100
"2",-3.83673469387755,"LS.YRI","YRI",0.499974993748437,0.9999,0,2000,1999.8,0.2,0,"LS(Y2Y)",100
"3",-3.6734693877551,"LS.YRI","YRI",0.499974993748437,0.9999,0,2000,1999.8,0.2,0,"LS(Y2Y)",100
"4",-3.51020408163265,"LS.YRI","YRI",0.499924974990621,0.9997,0,2000,1999.4,0.6,0,"LS(Y2Y)",100
"5",-3.3469387755102,"LS.YRI","YRI",0.49983741557575,0.99925,1e-04,1999.8,1998.5,1.5,0.2,"LS(Y2Y)",100
"6",-3.18367346938776,"LS.YRI","YRI",0.499649655879253,0.9984,2e-04,1999.6,1996.8,3.2,0.4,"LS(Y2Y)",100
"7",-3.02040816326531,"LS.YRI","YRI",0.499449085826363,0.99745,0.00035,1999.3,1994.9,5.1,0.7,"LS(Y2Y)",100
"8",-2.85714285714286,"LS.YRI","YRI",0.499060109122586,0.9958,0.00045,1999.1,1991.6,8.4,0.9,"LS(Y2Y)",100
"9",-2.69387755102041,"LS.YRI","YRI",0.498543847507675,0.9932,0.001,1998,1986.4,13.6,2,"LS(Y2Y)",100
"10",-2.53061224489796,"LS.YRI","YRI",0.49771011915688,0.98915,0.00175,1996.5,1978.3,21.7,3.5,"LS(Y2Y)",100
"11",-2.36734693877551,"LS.YRI","YRI",0.49647633594968,0.98305,0.003,1994,1966.1,33.9,6,"LS(Y2Y)",100
"12",-2.20408163265306,"LS.YRI","YRI",0.495266033273849,0.9757,0.00565,1988.7,1951.4,48.6,11.3,"LS(Y2Y)",100
"13",-2.04081632653061,"LS.YRI","YRI",0.493341339273642,0.96505,0.0089,1982.2,1930.1,69.9,17.8,"LS(Y2Y)",100
"14",-1.87755102040816,"LS.YRI","YRI",0.490684990046575,0.95085,0.01305,1973.9,1901.7,98.3,26.1,"LS(Y2Y)",100
"15",-1.71428571428571,"LS.YRI","YRI",0.487273113847272,0.93135,0.02,1960,1862.7,137.3,40,"LS(Y2Y)",100
